Country,City,AQI Value,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value,AQI Category_encoded,CO AQI Category_encoded,Ozone AQI Category_encoded,NO2 AQI Category_encoded,PM2.5 AQI Category_encoded,Total_Pollution_Score,Country_encoded,City_encoded
India,Mokokchung,60.0,1.0,16.0,3.0,60.0,1,0,0,0,1,23.15,69,13286
Chad,Mongo,53.0,1.0,10.0,1.0,53.0,1,0,0,0,1,19.049999999999997,31,13331
Hungary,Monor,64.0,1.0,31.0,3.0,64.0,1,0,0,0,1,27.9,67,13341
United States of America,Monroe,65.0,1.0,22.0,10.0,65.0,1,0,0,0,1,28.9,166,13343
Germany,Moosburg,50.0,1.0,29.0,3.0,50.0,0,0,0,0,0,23.2,58,13460
Japan,Moriyama,45.0,1.0,45.0,0.0,24.0,0,0,0,0,0,18.65,77,13497
Germany,Mosbach,29.0,1.0,29.0,2.0,25.0,0,0,0,0,0,15.25,58,13531
Bosnia and Herzegovina,Mostar,58.0,1.0,39.0,0.0,58.0,1,0,0,0,1,27.349999999999998,20,13550
Italy,Motta Di Livenza,47.0,1.0,47.0,1.0,41.0,0,0,0,0,0,24.499999999999996,75,13562
United States of America,Mount Vernon,67.0,1.0,42.0,2.0,67.0,1,0,0,0,1,31.299999999999997,166,13586
Turkey,Mudanya,36.0,1.0,36.0,1.0,29.0,0,0,0,0,0,18.15,159,13627
